,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,29.999999994283,0.0,0.0
2,41.2,-0.000192444444444444,-0.000192444444444444,-0.000341333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5072000.0,0.0,0.0,0.0,-0.000192444444444444,-0.000192444444444444,-0.000341333333333334,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,59.999998897783,0.0,0.0
3,42.4,-0.000162666666666666,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6144000.0,0.0,0.0,0.0,-0.000162666666666667,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,59.9999995070736,0.0,0.0
4,43.6,-0.000132888888888889,-0.000132888888888889,-0.000579555555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7216000.0,0.0,0.0,0.0,-0.000132888888888889,-0.000132888888888889,-0.000579555555555556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,59.9999992470424,0.0,0.0
5,44.8,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8288000.0,0.0,0.0,0.0,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,59.9999995975272,0.0,0.0
6,46.0,-7.33333333333332e-05,-7.33333333333332e-05,-0.000817777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-9360000.0,0.0,0.0,0.0,-7.33333333333334e-05,-7.33333333333334e-05,-0.000817777777777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,59.9999993028967,0.0,0.0
7,47.2,-4.35555555555553e-05,-4.35555555555553e-05,-0.000936888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10432000.0,0.0,0.0,0.0,-4.35555555555555e-05,-4.35555555555555e-05,-0.000936888888888889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,59.9999991950545,0.0,0.0
8,48.4,-1.37777777777776e-05,-1.37777777777776e-05,-0.001056,0.0,0.0,0.0,-4000000.0,-4000000.0,-11504000.0,0.0,0.0,0.0,-1.37777777777778e-05,-1.37777777777778e-05,-0.001056,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,60.0,0.0,0.0
9,49.6,1.60000000000003e-05,1.60000000000002e-05,-0.00117511111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12576000.0,0.0,0.0,0.0,1.6e-05,1.60000000000001e-05,-0.00117511111111111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,59.9999993028967,0.0,0.0
10,50.8,0.000186972886546228,0.00018697288654623,-0.00129422222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058725e-05,1.84450923058721e-05,-0.0011848914803346,0.0,0.0,0.0,0.000428896735174256,2.0,1.0,0.000227724846593094,0.00018523902408532,10.8,60.0,0.0,0.0
11,52.0,0.00037057662396262,0.000370576623962602,-0.00141333333333333,0.0,0.0,0.0,-4000000.00000002,-3999999.99999999,-12664023.3230114,0.0,0.0,0.0,1.84450923058713e-05,1.84450923058747e-05,-0.0011848914803346,0.0,0.0,0.0,0.000896161164158391,2.0,1.0,0.000475821210314747,0.000387048923103645,12.0,59.9999995975272,0.0,0.0
12,53.2,0.000554180361379003,0.000554180361379,-0.00153244444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058726e-05,1.84450923058726e-05,-0.0011848914803346,0.0,0.0,0.0,0.00136342559314255,2.0,1.0,0.000723917574036411,0.000588858822121979,13.2,59.9999994308176,0.0,0.0
13,54.4,0.000737784098795391,0.000737784098795388,-0.00165155555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058724e-05,1.84450923058724e-05,-0.0011848914803346,0.0,0.0,0.0,0.0018306900221267,2.0,1.0,0.000972013937758075,0.000790668721140312,14.4,59.9999994308176,0.0,0.0
14,55.6,0.000921387836211778,0.000921387836211777,-0.00177066666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058725e-05,1.84450923058723e-05,-0.0011848914803346,0.0,0.0,0.0,0.00229795445111086,2.0,1.0,0.00122011030147974,0.000992478620158644,15.6,59.9999993028967,0.0,0.0
15,56.8,0.00110499157362817,0.00110499157362816,-0.00188977777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058722e-05,1.84450923058723e-05,-0.0011848914803346,0.0,0.0,0.0,0.00276521888009502,2.0,1.0,0.0014682066652014,0.00119428851917698,16.8,59.9999993028967,0.0,0.0
16,58.0,0.00128859531104455,0.00128859531104455,-0.00200888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058722e-05,1.84450923058721e-05,-0.0011848914803346,0.0,0.0,0.0,0.00323248330907917,2.0,1.0,0.00171630302892307,0.00139609841819531,18.0,60.0,0.0,0.0
17,59.2,0.00147219904846094,0.00147219904846094,-0.002128,0.0,0.0,0.0,-4000000.0,-4000000.00000001,-12664023.3230114,0.0,0.0,0.0,1.84450923058731e-05,1.84450923058728e-05,-0.0011848914803346,0.0,0.0,0.0,0.00369974773806331,2.0,1.0,0.00196439939264472,0.00159790831721364,19.2,59.9999995975272,0.0,0.0
18,60.4,0.00165580278587733,0.00165580278587733,-0.00224711111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12664023.3230114,0.0,0.0,0.0,1.84450923058727e-05,1.84450923058726e-05,-0.0011848914803346,0.0,0.0,0.0,0.00416701216704747,2.0,1.0,0.00221249575636639,0.00179971821623197,20.4,59.9999997154088,0.0,0.0
