,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000292063466666667,-0.000292063466666667,-0.000292063466666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000292063466666667,-0.000292063466666667,-0.000292063466666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,30.0000000000148,0.0,0.0
2,41.2,-0.000271692306791474,-0.000271692306791474,-0.000410895212800001,0.0,0.0,0.0,-4000000.0,-4000000.0,-5069485.7152,0.0,0.0,0.0,-0.000271692306791474,-0.000271692306791474,-0.0004108952128,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,60.0,0.0,0.0
3,42.4,-0.000251321146916281,-0.000251321146916282,-0.000529726958933334,0.0,0.0,0.0,-4000000.0,-4000000.0,-6138971.4304,0.0,0.0,0.0,-0.000251321146916281,-0.000251321146916281,-0.000529726958933333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,59.9999991462264,0.0,0.0
4,43.6,-0.000230949987041089,-0.000230949987041089,-0.000648558705066667,0.0,0.0,0.0,-4000000.0,-4000000.0,-7208457.1456,0.0,0.0,0.0,-0.000230949987041088,-0.000230949987041088,-0.000648558705066667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,59.9999993636347,0.0,0.0
5,44.8,-0.000210578827165896,-0.000210578827165896,-0.0007673904512,0.0,0.0,0.0,-4000000.0,-4000000.0,-8277942.8608,0.0,0.0,0.0,-0.000210578827165896,-0.000210578827165896,-0.0007673904512,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,59.9999995975272,0.0,0.0
6,46.0,-0.000190207667290703,-0.000190207667290703,-0.000886222197333334,0.0,0.0,0.0,-4000000.0,-4000000.0,-9347428.576,0.0,0.0,0.0,-0.000190207667290703,-0.000190207667290703,-0.000886222197333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,60.0,0.0,0.0
7,47.2,-0.00016983650741551,-0.00016983650741551,-0.00100505394346667,0.0,0.0,0.0,-4000000.0,-4000000.0,-10416914.2912,0.0,0.0,0.0,-0.00016983650741551,-0.00016983650741551,-0.00100505394346667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,59.9999997154088,0.0,0.0
8,48.4,-0.000149465347540318,-0.000149465347540318,-0.0011238856896,0.0,0.0,0.0,-4000000.0,-4000000.0,-11486400.0064,0.0,0.0,0.0,-0.000149465347540318,-0.000149465347540318,-0.0011238856896,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,60.0,0.0,0.0
9,49.6,-0.000129094187665125,-0.000129094187665125,-0.00124271743573333,0.0,0.0,0.0,-4000000.0,-4000000.0,-12555885.7216,0.0,0.0,0.0,-0.000129094187665125,-0.000129094187665125,-0.00124271743573333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,59.9999995975272,0.0,0.0
10,50.8,-0.000108723027789932,-0.000108723027789932,-0.00136154918186667,0.0,0.0,0.0,-4000000.0,-4000000.0,-13625371.4368,0.0,0.0,0.0,-0.000108723027789932,-0.000108723027789932,-0.00136154918186667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.8,59.9999995070736,0.0,0.0
11,52.0,-8.83518679147395e-05,-8.83518679147396e-05,-0.001480380928,0.0,0.0,0.0,-4000000.0,-4000000.0,-14694857.152,0.0,0.0,0.0,-8.83518679147393e-05,-8.83518679147393e-05,-0.001480380928,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,60.0,0.0,0.0
12,53.2,-6.79807080395467e-05,-6.79807080395467e-05,-0.00159921267413333,0.0,0.0,0.0,-4000000.0,-4000000.0,-15764342.8672,0.0,0.0,0.0,-6.79807080395465e-05,-6.79807080395465e-05,-0.00159921267413333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.2,59.9999995070736,0.0,0.0
13,54.4,-4.76095481643539e-05,-4.7609548164354e-05,-0.00171804442026667,0.0,0.0,0.0,-4000000.0,-4000000.0,-16833828.5824,0.0,0.0,0.0,-4.76095481643538e-05,-4.76095481643538e-05,-0.00171804442026667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.4,59.9999995070736,0.0,0.0
14,55.6,-2.72383882891612e-05,-2.72383882891613e-05,-0.0018368761664,0.0,0.0,0.0,-4000000.0,-4000000.0,-17903314.2976,0.0,0.0,0.0,-2.7238388289161e-05,-2.72383882891611e-05,-0.0018368761664,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.6,59.9999994308176,0.0,0.0
15,56.8,-6.86722841396858e-06,-6.86722841396859e-06,-0.00195570791253333,0.0,0.0,0.0,-4000000.0,-4000000.0,-18972800.0128,0.0,0.0,0.0,-6.86722841396838e-06,-6.86722841396835e-06,-0.00195570791253333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.8,59.9999997154088,0.0,0.0
16,58.0,1.35039314612243e-05,1.35039314612242e-05,-0.00207453965866667,0.0,0.0,0.0,-4000000.0,-4000000.0,-20042285.728,0.0,0.0,0.0,1.35039314612244e-05,1.35039314612244e-05,-0.00207453965866667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,59.9999995070736,0.0,0.0
17,59.2,3.38750913364171e-05,3.3875091336417e-05,-0.0021933714048,0.0,0.0,0.0,-4000000.0,-4000000.0,-21111771.4432,0.0,0.0,0.0,3.38750913364172e-05,3.38750913364172e-05,-0.0021933714048,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.2,59.9999995975272,0.0,0.0
18,60.4,5.42462512116098e-05,5.42462512116098e-05,-0.00231220315093333,0.0,0.0,0.0,-4000000.0,-4000000.0,-22181257.1584,0.0,0.0,0.0,5.42462512116099e-05,5.42462512116099e-05,-0.00231220315093333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.4,59.9999997154088,0.0,0.0
19,61.6,7.46174110868025e-05,7.46174110868024e-05,-0.00243103489706667,0.0,0.0,0.0,-4000000.0,-4000000.0,-23250742.8736,0.0,0.0,0.0,7.46174110868026e-05,7.46174110868026e-05,-0.00243103489706667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.6,59.9999995975272,0.0,0.0
20,62.8,9.49885709619954e-05,9.49885709619952e-05,-0.0025498666432,0.0,0.0,0.0,-4000000.0,-4000000.0,-24320228.5888,0.0,0.0,0.0,9.49885709619954e-05,9.49885709619954e-05,-0.0025498666432,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.8,59.9999995975272,0.0,0.0
21,64.0,0.000115359730837188,0.000115359730837188,-0.00266869838933333,0.0,0.0,0.0,-4000000.0,-4000000.0,-25389714.304,0.0,0.0,0.0,0.000115359730837188,0.000115359730837188,-0.00266869838933333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,60.0,0.0,0.0
22,65.2,0.000155876895496786,0.000155876895496786,-0.00278753013546667,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,5.7686242685537e-05,2.0,1.0,3.0628796371599e-05,25.2,60.0,0.0,0.0
23,66.4,0.000339050005967083,0.000339050005967083,-0.0029063618816,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.000523854742703857,2.0,1.0,0.000278143271178859,26.4,60.0,0.0,0.0
24,67.6,0.000522223116437376,0.000522223116437375,-0.00302519362773333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847679,-0.00277282524454005,0.0,0.0,0.0,0.000990023242722161,2.0,1.0,0.000525657745986111,27.6,59.9999993028967,0.0,0.0
25,68.8,0.000705396226907683,0.000705396226907682,-0.00314402537386667,0.0,0.0,0.0,-4000000.00000002,-4000000.00000002,-26326856.0008605,0.0,0.0,0.0,0.000133210051847677,0.000133210051847677,-0.00277282524454005,0.0,0.0,0.0,0.00145619174274049,2.0,1.0,0.000773172220793374,28.8,59.9999997154088,0.0,0.0
26,70.0,0.000888569337377982,0.000888569337377981,-0.00326285712,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00192236024275881,2.0,1.0,0.00102068669560063,30.0,60.0,0.0,0.0
27,71.2,0.00107174244784828,0.00107174244784828,-0.00338168886613333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847679,-0.00277282524454005,0.0,0.0,0.0,0.00238852874277712,2.0,1.0,0.00126820117040789,31.2,60.0,0.0,0.0
28,72.4,0.00125491555831857,0.00125491555831857,-0.00350052061226667,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00285469724279544,2.0,1.0,0.00151571564521515,32.4,59.9999995070736,0.0,0.0
29,73.6,0.00143808866878887,0.00143808866878887,-0.0036193523584,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000133210051847677,0.000133210051847677,-0.00277282524454005,0.0,0.0,0.0,0.00332086574281376,2.0,1.0,0.00176323012002241,33.6,59.9999995070736,0.0,0.0
30,74.8,0.00162126177925917,0.00162126177925917,-0.00373818410453333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00378703424283209,2.0,1.0,0.00201074459482967,34.8,60.0,0.0,0.0
31,76.0,0.00180443488972947,0.00180443488972947,-0.00385701585066667,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00425320274285039,2.0,1.0,0.00225825906963693,36.0,60.0,0.0,0.0
32,77.2,0.00198760800019976,0.00198760800019976,-0.0039758475968,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.0047193712428687,2.0,1.0,0.00250577354444418,37.2,59.9999997154088,0.0,0.0
33,78.4,0.00217078111067006,0.00217078111067006,-0.00409467934293333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00518553974288703,2.0,1.0,0.00275328801925145,38.4,59.9999995975272,0.0,0.0
34,79.6,0.00235395422114036,0.00235395422114036,-0.00421351108906667,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00565170824290534,2.0,1.0,0.0030008024940587,39.6,59.9999994308176,0.0,0.0
35,80.8,0.00253712733161066,0.00253712733161066,-0.0043323428352,0.0,0.0,0.0,-4000000.0,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847677,-0.00277282524454005,0.0,0.0,0.0,0.00611787674292367,2.0,1.0,0.00324831696886597,40.8,60.0,0.0,0.0
36,82.0,0.00272030044208095,0.00272030044208095,-0.00445117458133333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847679,-0.00277282524454005,0.0,0.0,0.0,0.00658404524294198,2.0,1.0,0.00349583144367322,42.0,59.9999997154088,0.0,0.0
37,83.2,0.00290347355255125,0.00290347355255125,-0.00457000632746667,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008605,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00705021374296029,2.0,1.0,0.00374334591848048,43.2,59.9999995975272,0.0,0.0
38,84.4,0.00308664666302155,0.00308664666302155,-0.0046888380736,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00751638224297861,2.0,1.0,0.00399086039328774,44.4,59.9999994308176,0.0,0.0
39,85.6,0.00326981977349185,0.00326981977349185,-0.00480766981973333,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-26326856.0008604,0.0,0.0,0.0,0.000133210051847677,0.000133210051847677,-0.00277282524454005,0.0,0.0,0.0,0.00798255074299694,2.0,1.0,0.004238374868095,45.6,60.0,0.0,0.0
40,86.8,0.00345299288396214,0.00345299288396214,-0.00492650156586667,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00844871924301524,2.0,1.0,0.00448588934290225,46.8,59.9999997154088,0.0,0.0
41,88.0,0.00363616599443244,0.00363616599443244,-0.005045333312,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847678,-0.00277282524454005,0.0,0.0,0.0,0.00891488774303356,2.0,1.0,0.00473340381770951,48.0,60.0,0.0,0.0
42,89.2,0.00381933910490273,0.00381933910490273,-0.00516416505813333,0.0,0.0,0.0,-4000000.0,-4000000.0,-26326856.0008604,0.0,0.0,0.0,0.000133210051847678,0.000133210051847679,-0.00277282524454005,0.0,0.0,0.0,0.00938105624305187,2.0,1.0,0.00498091829251677,49.2,59.9999997154088,0.0,0.0
