,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000165079377777778,-0.000165079377777778,-0.000165079377777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000165079377777778,-0.000165079377777778,-0.000165079377777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,30.0000000006539,0.0,0.0
2,41.2,-0.00012757262212898,-0.00012757262212898,-0.000284419060266667,0.0,0.0,0.0,-4000000.0,-4000000.0,-5074057.1424,0.0,0.0,0.0,-0.000127572622128979,-0.000127572622128979,-0.000284419060266667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,59.9999987272694,0.0,0.0
3,42.4,-9.00658664801818e-05,-9.00658664801817e-05,-0.000403758742755556,0.0,0.0,0.0,-4000000.0,-4000000.0,-6148114.2848,0.0,0.0,0.0,-9.00658664801814e-05,-9.00658664801815e-05,-0.000403758742755555,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,59.9999991000436,0.0,0.0
4,43.6,-5.25591108313836e-05,-5.25591108313834e-05,-0.000523098425244445,0.0,0.0,0.0,-4000000.0,-4000000.0,-7222171.4272,0.0,0.0,0.0,-5.25591108313832e-05,-5.25591108313832e-05,-0.000523098425244445,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,60.0,0.0,0.0
5,44.8,-1.50523551825855e-05,-1.50523551825854e-05,-0.000642438107733333,0.0,0.0,0.0,-4000000.0,-4000000.0,-8296228.5696,0.0,0.0,0.0,-1.50523551825852e-05,-1.50523551825851e-05,-0.000642438107733333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,59.9999994308176,0.0,0.0
6,46.0,2.24544004662127e-05,2.24544004662128e-05,-0.000761777790222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-9370285.712,0.0,0.0,0.0,2.24544004662131e-05,2.24544004662131e-05,-0.000761777790222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,60.0,0.0,0.0
7,47.2,5.99611561150109e-05,5.99611561150111e-05,-0.000881117472711112,0.0,0.0,0.0,-4000000.0,-4000000.0,-10444342.8544,0.0,0.0,0.0,5.99611561150114e-05,5.99611561150114e-05,-0.000881117472711111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,59.9999995070736,0.0,0.0
8,48.4,9.7467911763809e-05,9.74679117638092e-05,-0.0010004571552,0.0,0.0,0.0,-4000000.0,-4000000.0,-11518399.9968,0.0,0.0,0.0,9.74679117638095e-05,9.74679117638095e-05,-0.0010004571552,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,59.9999995070736,0.0,0.0
9,49.6,0.000134974667412607,0.000134974667412608,-0.00111979683768889,0.0,0.0,0.0,-4000000.0,-4000000.0,-12592457.1392,0.0,0.0,0.0,0.000134974667412608,0.000134974667412608,-0.00111979683768889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,60.0,0.0,0.0
