,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,-5.55555555555556e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-5.55555555555555e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,29.9999999999107,0.0,0.0
2,11.2,-2.56111111111112e-05,-2.56111111111112e-05,-0.000175333333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-2078000.0,0.0,0.0,0.0,-2.56111111111111e-05,-2.56111111111111e-05,-0.000175333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,59.9999992470424,0.0,0.0
3,12.4,4.33333333333328e-06,4.33333333333326e-06,-0.000295111111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-3156000.0,0.0,0.0,0.0,4.33333333333333e-06,4.33333333333334e-06,-0.000295111111111111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,60.0,0.0,0.0
4,13.6,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-4234000.0,0.0,0.0,0.0,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,60.0,0.0,0.0
5,14.8,6.42222222222222e-05,6.42222222222222e-05,-0.000534666666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-5312000.0,0.0,0.0,0.0,6.42222222222222e-05,6.42222222222222e-05,-0.000534666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,60.0,0.0,0.0
6,16.0,9.41666666666666e-05,9.41666666666666e-05,-0.000654444444444444,0.0,0.0,0.0,-1000000.0,-1000000.0,-6390000.0,0.0,0.0,0.0,9.41666666666666e-05,9.41666666666666e-05,-0.000654444444444444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,59.9999995975272,0.0,0.0
7,17.2,0.000124111111111111,0.000124111111111111,-0.000774222222222222,0.0,0.0,0.0,-1000000.0,-1000000.0,-7468000.0,0.0,0.0,0.0,0.000124111111111111,0.000124111111111111,-0.000774222222222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,60.0,0.0,0.0
8,18.4,0.000154055555555555,0.000154055555555555,-0.000894,0.0,0.0,0.0,-1000000.0,-1000000.0,-8546000.0,0.0,0.0,0.0,0.000154055555555555,0.000154055555555555,-0.000894,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,59.9999997154088,0.0,0.0
9,19.6,0.000184,0.000184,-0.00101377777777778,0.0,0.0,0.0,-1000000.0,-1000000.0,-9624000.0,0.0,0.0,0.0,0.000184,0.000184,-0.00101377777777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,59.9999995070736,0.0,0.0
