,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,30.0000000016824,0.0,0.0
2,41.2,-0.0001702,-0.0001702,-0.0003192,0.0,0.0,0.0,-4000000.0,-4000000.0,-5192000.0,0.0,0.0,0.0,-0.0001702,-0.0001702,-0.0003192,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,59.9999989351572,0.0,0.0
3,42.4,-0.0001404,-0.0001404,-0.0004384,0.0,0.0,0.0,-4000000.0,-4000000.0,-6384000.0,0.0,0.0,0.0,-0.0001404,-0.0001404,-0.0004384,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,59.9999993636347,0.0,0.0
4,43.6,-0.0001106,-0.0001106,-0.0005576,0.0,0.0,0.0,-4000000.0,-4000000.0,-7576000.0,0.0,0.0,0.0,-0.0001106,-0.0001106,-0.0005576,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,59.9999995070736,0.0,0.0
5,44.8,-8.08000000000001e-05,-8.08000000000002e-05,-0.0006768,0.0,0.0,0.0,-4000000.0,-4000000.0,-8768000.0,0.0,0.0,0.0,-8.08000000000001e-05,-8.08000000000001e-05,-0.0006768,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,59.9999995070736,0.0,0.0
6,46.0,-5.10000000000001e-05,-5.10000000000001e-05,-0.000796,0.0,0.0,0.0,-4000000.0,-4000000.0,-9960000.0,0.0,0.0,0.0,-5.1e-05,-5.10000000000001e-05,-0.000796,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,59.9999994308176,0.0,0.0
7,47.2,-2.12e-05,-2.12e-05,-0.0009152,0.0,0.0,0.0,-4000000.0,-4000000.0,-11152000.0,0.0,0.0,0.0,-2.12e-05,-2.12e-05,-0.0009152,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,59.9999993028967,0.0,0.0
8,48.4,8.59999999999997e-06,8.59999999999996e-06,-0.0010344,0.0,0.0,0.0,-4000000.0,-4000000.0,-12344000.0,0.0,0.0,0.0,8.59999999999999e-06,8.59999999999999e-06,-0.0010344,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,59.9999997154088,0.0,0.0
9,49.6,3.84000000000001e-05,3.84000000000001e-05,-0.0011536,0.0,0.0,0.0,-4000000.0,-4000000.0,-13536000.0,0.0,0.0,0.0,3.84000000000001e-05,3.84000000000001e-05,-0.0011536,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,59.9999994308176,0.0,0.0
10,50.8,6.82e-05,6.81999999999999e-05,-0.0012728,0.0,0.0,0.0,-4000000.0,-4000000.0,-14728000.0,0.0,0.0,0.0,6.82e-05,6.82e-05,-0.0012728,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.8,59.9999995070736,0.0,0.0
11,52.0,9.8e-05,9.8e-05,-0.001392,0.0,0.0,0.0,-4000000.0,-4000000.0,-15920000.0,0.0,0.0,0.0,9.8e-05,9.8e-05,-0.001392,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,59.9999995070736,0.0,0.0
12,53.2,0.0001278,0.0001278,-0.0015112,0.0,0.0,0.0,-4000000.0,-4000000.0,-17112000.0,0.0,0.0,0.0,0.0001278,0.0001278,-0.0015112,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.2,59.9999995070736,0.0,0.0
13,54.4,0.0001576,0.0001576,-0.0016304,0.0,0.0,0.0,-4000000.0,-4000000.0,-18304000.0,0.0,0.0,0.0,0.0001576,0.0001576,-0.0016304,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.4,60.0,0.0,0.0
14,55.6,0.0001874,0.0001874,-0.0017496,0.0,0.0,0.0,-4000000.0,-4000000.0,-19496000.0,0.0,0.0,0.0,0.0001874,0.0001874,-0.0017496,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.6,60.0,0.0,0.0
15,56.8,0.0002172,0.0002172,-0.0018688,0.0,0.0,0.0,-4000000.0,-4000000.0,-20688000.0,0.0,0.0,0.0,0.0002172,0.0002172,-0.0018688,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.8,59.9999997154088,0.0,0.0
16,58.0,0.000247,0.000247,-0.001988,0.0,0.0,0.0,-4000000.0,-4000000.0,-21880000.0,0.0,0.0,0.0,0.000247,0.000247,-0.001988,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,60.0,0.0,0.0
