,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,C3T,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000386139521862737,-0.000386139521862737,-0.000386139521862737,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000386139521862737,-0.000386139521862737,-0.000386139521862737,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,30.000000000118,0.0,0.0
2,41.2,-0.0003565256613846,-0.0003565256613846,-0.000504594963775286,0.0,0.0,0.0,-4000000.0,-4000000.0,-4613537.0,0.0,0.0,0.0,-0.0003565256613846,-0.0003565256613846,-0.000504594963775286,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,59.999998897783,0.0,0.0
3,42.4,-0.000326911800906463,-0.000326911800906463,-0.000623050405687835,0.0,0.0,0.0,-4000000.0,-4000000.0,-5227074.0,0.0,0.0,0.0,-0.000326911800906463,-0.000326911800906463,-0.000623050405687835,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,60.0,0.0,0.0
4,43.6,-0.000297297940428325,-0.000297297940428325,-0.000741505847600384,0.0,0.0,0.0,-4000000.0,-4000000.0,-5840611.0,0.0,0.0,0.0,-0.000297297940428325,-0.000297297940428325,-0.000741505847600384,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,59.9999989738918,0.0,0.0
5,44.8,-0.000267684079950188,-0.000267684079950188,-0.000859961289512933,0.0,0.0,0.0,-4000000.0,-4000000.0,-6454148.0,0.0,0.0,0.0,-0.000267684079950188,-0.000267684079950188,-0.000859961289512933,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,59.9999994308176,0.0,0.0
6,46.0,-0.000238070219472051,-0.000238070219472051,-0.000978416731425482,0.0,0.0,0.0,-4000000.0,-4000000.0,-7067685.0,0.0,0.0,0.0,-0.000238070219472051,-0.000238070219472051,-0.000978416731425482,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,59.9999991950545,0.0,0.0
7,47.2,-0.000208456358993913,-0.000208456358993914,-0.00109687217333803,0.0,0.0,0.0,-4000000.0,-4000000.0,-7681222.0,0.0,0.0,0.0,-0.000208456358993913,-0.000208456358993913,-0.00109687217333803,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,59.9999993636347,0.0,0.0
8,48.4,-0.000178842498515776,-0.000178842498515776,-0.00121532761525058,0.0,0.0,0.0,-4000000.0,-4000000.0,-8294759.0,0.0,0.0,0.0,-0.000178842498515776,-0.000178842498515776,-0.00121532761525058,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,59.9999995070736,0.0,0.0
9,49.6,-0.000149228638037639,-0.000149228638037639,-0.00133378305716313,0.0,0.0,0.0,-4000000.0,-4000000.0,-8908296.0,0.0,0.0,0.0,-0.000149228638037639,-0.000149228638037639,-0.00133378305716313,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,59.9999994308176,0.0,0.0
