,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000192444444444444,-0.000192444444444444,-0.000341333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5072000.0,0.0,0.0,0.0,-0.000192444444444444,-0.000192444444444444,-0.000341333333333334,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000162666666666666,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6144000.0,0.0,0.0,0.0,-0.000162666666666667,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000132888888888889,-0.000132888888888889,-0.000579555555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7216000.0,0.0,0.0,0.0,-0.000132888888888889,-0.000132888888888889,-0.000579555555555556,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8288000.0,0.0,0.0,0.0,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-5.52835259635482e-05,-5.52835259635482e-05,-0.000817777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-9173684.09693146,0.0,0.0,0.0,-7.85087750852371e-05,-7.85087750852371e-05,-0.000797076010770163,0.0,0.0,0.0,4.84951331710889e-05,2.92846774195359e-05,2.0,1.0,2.57487312357624e-05,6.0,0.0,0.0
7,47.2,7.8346865475941e-05,7.8346865475941e-05,-0.000936888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-9173684.09693147,0.0,0.0,0.0,-7.85087750852371e-05,-7.85087750852371e-05,-0.000797076010770163,0.0,0.0,0.0,0.000327520068258268,0.000197779012453269,2.0,1.0,0.000173898403003629,7.2,0.0,0.0
8,48.4,0.00021197725691543,0.00021197725691543,-0.001056,0.0,0.0,0.0,-4000000.0,-4000000.0,-9173684.09693146,0.0,0.0,0.0,-7.85087750852371e-05,-7.85087750852371e-05,-0.000797076010770163,0.0,0.0,0.0,0.000606545003345446,0.000366273347487002,2.0,1.0,0.000322048074771496,8.4,0.0,0.0
9,49.6,0.000345607648354919,0.000345607648354919,-0.00117511111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-9173684.09693147,0.0,0.0,0.0,-7.85087750852371e-05,-7.85087750852371e-05,-0.000797076010770163,0.0,0.0,0.0,0.000885569938432626,0.000534767682520736,2.0,1.0,0.000470197746539363,9.6,0.0,0.0
10,50.8,0.000479238039794408,0.000479238039794408,-0.00129422222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-9173684.09693146,0.0,0.0,0.0,-7.85087750852371e-05,-7.85087750852372e-05,-0.000797076010770163,0.0,0.0,0.0,0.0011645948735198,0.000703262017554469,2.0,1.0,0.00061834741830723,10.8,0.0,0.0
