,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000355555555555556,-0.000355555555555556,-0.000355555555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000355555555555556,-0.000355555555555556,-0.000355555555555556,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000343697777777778,-0.000343697777777778,-0.000474133333333334,0.0,0.0,0.0,-4000000.0,-4000000.0,-5067200.0,0.0,0.0,0.0,-0.000343697777777778,-0.000343697777777778,-0.000474133333333334,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.00033184,-0.00033184,-0.000592711111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-6134400.0,0.0,0.0,0.0,-0.00033184,-0.00033184,-0.000592711111111111,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000319982222222223,-0.000319982222222223,-0.000711288888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-7201600.0,0.0,0.0,0.0,-0.000319982222222222,-0.000319982222222222,-0.000711288888888889,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000308124444444445,-0.000308124444444445,-0.000829866666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-8268800.0,0.0,0.0,0.0,-0.000308124444444444,-0.000308124444444444,-0.000829866666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.000296266666666667,-0.000296266666666667,-0.000948444444444445,0.0,0.0,0.0,-4000000.0,-4000000.0,-9336000.0,0.0,0.0,0.0,-0.000296266666666667,-0.000296266666666667,-0.000948444444444444,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.000284408888888889,-0.000284408888888889,-0.00106702222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-10403200.0,0.0,0.0,0.0,-0.000284408888888889,-0.000284408888888889,-0.00106702222222222,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-0.000272551111111111,-0.000272551111111111,-0.0011856,0.0,0.0,0.0,-4000000.0,-4000000.0,-11470400.0,0.0,0.0,0.0,-0.000272551111111111,-0.000272551111111111,-0.0011856,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-0.000260693333333334,-0.000260693333333334,-0.00130417777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-12537600.0,0.0,0.0,0.0,-0.000260693333333333,-0.000260693333333333,-0.00130417777777778,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,0.0,0.0
10,50.8,-0.000248835555555556,-0.000248835555555556,-0.00142275555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-13604800.0,0.0,0.0,0.0,-0.000248835555555556,-0.000248835555555556,-0.00142275555555556,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.8,0.0,0.0
11,52.0,-0.000236977777777778,-0.000236977777777778,-0.00154133333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-14672000.0,0.0,0.0,0.0,-0.000236977777777778,-0.000236977777777778,-0.00154133333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0
12,53.2,-0.00022512,-0.00022512,-0.00165991111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-15739200.0,0.0,0.0,0.0,-0.00022512,-0.00022512,-0.00165991111111111,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.2,0.0,0.0
13,54.4,-0.000213262222222223,-0.000213262222222223,-0.00177848888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-16806400.0,0.0,0.0,0.0,-0.000213262222222222,-0.000213262222222222,-0.00177848888888889,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.4,0.0,0.0
14,55.6,-0.000139952740376632,-0.000139952740376632,-0.00189706666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.000140869693710475,8.506675348114e-05,2.0,1.0,7.47954618418823e-05,15.6,0.0,0.0
15,56.8,-6.92069397343988e-06,-6.9206939734399e-06,-0.00201564444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.000418645263416665,0.000252806636268453,2.0,1.0,0.000222281776870489,16.8,0.0,0.0
16,58.0,0.000126111352429753,0.000126111352429753,-0.00213422222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.000696420833122857,0.000420546519055767,2.0,1.0,0.000369768091899097,18.0,0.0,0.0
17,59.2,0.000259143398832947,0.000259143398832947,-0.0022528,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00097419640282905,0.000588286401843081,2.0,1.0,0.000517254406927706,19.2,0.0,0.0
18,60.4,0.00039217544523614,0.00039217544523614,-0.00237137777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00125197197253524,0.000756026284630395,2.0,1.0,0.000664740721956313,20.4,0.0,0.0
19,61.6,0.000525207491639331,0.000525207491639331,-0.00248995555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00152974754224143,0.000923766167417707,2.0,1.0,0.00081222703698492,21.6,0.0,0.0
20,62.8,0.000658239538042525,0.000658239538042525,-0.00260853333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00180752311194762,0.00109150605020502,2.0,1.0,0.000959713352013529,22.8,0.0,0.0
21,64.0,0.000791271584445718,0.000791271584445718,-0.00272711111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00208529868165382,0.00125924593299234,2.0,1.0,0.00110719966704214,24.0,0.0,0.0
22,65.2,0.000924303630848911,0.000924303630848911,-0.00284568888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00236307425136001,0.00142698581577965,2.0,1.0,0.00125468598207074,25.2,0.0,0.0
23,66.4,0.0010573356772521,0.0010573356772521,-0.00296426666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.0026408498210662,0.00159472569856696,2.0,1.0,0.00140217229709935,26.4,0.0,0.0
24,67.6,0.0011903677236553,0.0011903677236553,-0.00308284444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00291862539077239,0.00176246558135428,2.0,1.0,0.00154965861212796,27.6,0.0,0.0
25,68.8,0.00132339977005849,0.00132339977005849,-0.00320142222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00319640096047858,0.00193020546414159,2.0,1.0,0.00169714492715657,28.8,0.0,0.0
26,70.0,0.00145643181646168,0.00145643181646168,-0.00332,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00347417653018477,0.0020979453469289,2.0,1.0,0.00184463124218518,30.0,0.0,0.0
27,71.2,0.00158946386286487,0.00158946386286487,-0.00343857777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00375195209989097,0.00226568522971622,2.0,1.0,0.00199211755721378,31.2,0.0,0.0
28,72.4,0.00172249590926807,0.00172249590926807,-0.00355715555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00402972766959716,0.00243342511250353,2.0,1.0,0.00213960387224239,32.4,0.0,0.0
29,73.6,0.00185552795567126,0.00185552795567126,-0.00367573333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731163,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.00430750323930335,0.00260116499529084,2.0,1.0,0.002287090187271,33.6,0.0,0.0
30,74.8,0.00198856000207445,0.00198856000207445,-0.00379431111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00458527880900954,0.00276890487807816,2.0,1.0,0.00243457650229961,34.8,0.0,0.0
31,76.0,0.00212159204847765,0.00212159204847765,-0.00391288888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00486305437871573,0.00293664476086547,2.0,1.0,0.00258206281732821,36.0,0.0,0.0
32,77.2,0.00225462409488084,0.00225462409488084,-0.00403146666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00514082994842192,0.00310438464365278,2.0,1.0,0.00272954913235682,37.2,0.0,0.0
33,78.4,0.00238765614128403,0.00238765614128403,-0.00415004444444445,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00541860551812812,0.0032721245264401,2.0,1.0,0.00287703544738543,38.4,0.0,0.0
34,79.6,0.00252068818768722,0.00252068818768722,-0.00426862222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0056963810878343,0.00343986440922741,2.0,1.0,0.00302452176241404,39.6,0.0,0.0
35,80.8,0.00265372023409042,0.00265372023409042,-0.0043872,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0059741566575405,0.00360760429201473,2.0,1.0,0.00317200807744265,40.8,0.0,0.0
36,82.0,0.00278675228049361,0.00278675228049361,-0.00450577777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00625193222724669,0.00377534417480204,2.0,1.0,0.00331949439247125,42.0,0.0,0.0
37,83.2,0.0029197843268968,0.0029197843268968,-0.00462435555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00652970779695288,0.00394308405758935,2.0,1.0,0.00346698070749986,43.2,0.0,0.0
38,84.4,0.0030528163733,0.0030528163733,-0.00474293333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00680748336665907,0.00411082394037667,2.0,1.0,0.00361446702252847,44.4,0.0,0.0
39,85.6,0.00318584841970319,0.00318584841970319,-0.00486151111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00708525893636526,0.00427856382316398,2.0,1.0,0.00376195333755708,45.6,0.0,0.0
40,86.8,0.00331888046610638,0.00331888046610638,-0.00498008888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00736303450607146,0.0044463037059513,2.0,1.0,0.00390943965258568,46.8,0.0,0.0
41,88.0,0.00345191251250958,0.00345191251250958,-0.00509866666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00764081007577765,0.00461404358873861,2.0,1.0,0.00405692596761429,48.0,0.0,0.0
42,89.2,0.00358494455891277,0.00358494455891277,-0.00521724444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00791858564548384,0.00478178347152592,2.0,1.0,0.0042044122826429,49.2,0.0,0.0
43,90.4,0.00371797660531596,0.00371797660531596,-0.00533582222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00819636121519004,0.00494952335431324,2.0,1.0,0.00435189859767151,50.4,0.0,0.0
44,91.6,0.00385100865171915,0.00385100865171915,-0.0054544,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00847413678489622,0.00511726323710055,2.0,1.0,0.00449938491270011,51.6,0.0,0.0
45,92.8,0.00398404069812235,0.00398404069812235,-0.00557297777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00875191235460241,0.00528500311988786,2.0,1.0,0.00464687122772872,52.8,0.0,0.0
46,94.0,0.00411707274452554,0.00411707274452554,-0.00569155555555556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731163,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.00902968792430861,0.00545274300267518,2.0,1.0,0.00479435754275733,54.0,0.0,0.0
47,95.2,0.00425010479092873,0.00425010479092873,-0.00581013333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0093074634940148,0.00562048288546249,2.0,1.0,0.00494184385778594,55.2,0.0,0.0
48,96.4,0.00438313683733193,0.00438313683733193,-0.00592871111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00958523906372099,0.00578822276824981,2.0,1.0,0.00508933017281455,56.4,0.0,0.0
49,97.6,0.00451616888373512,0.00451616888373512,-0.00604728888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.00986301463342718,0.00595596265103712,2.0,1.0,0.00523681648784315,57.6,0.0,0.0
50,98.8,0.00464920093013831,0.00464920093013831,-0.00616586666666667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0101407902031334,0.00612370253382443,2.0,1.0,0.00538430280287176,58.8,0.0,0.0
51,100.0,0.0047822329765415,0.0047822329765415,-0.00628444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731163,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.0104185657728396,0.00629144241661175,2.0,1.0,0.00553178911790037,60.0,0.0,0.0
52,101.2,0.0049152650229447,0.0049152650229447,-0.00640302222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0106963413425458,0.00645918229939906,2.0,1.0,0.00567927543292898,61.2,0.0,0.0
53,102.4,0.00504829706934789,0.00504829706934789,-0.0065216,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731163,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.010974116912252,0.00662692218218637,2.0,1.0,0.00582676174795758,62.4,0.0,0.0
54,103.6,0.00518132911575108,0.00518132911575108,-0.00664017777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0112518924819581,0.00679466206497369,2.0,1.0,0.00597424806298619,63.6,0.0,0.0
55,104.8,0.00531436116215427,0.00531436116215427,-0.00675875555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0115296680516643,0.006962401947761,2.0,1.0,0.0061217343780148,64.8,0.0,0.0
56,106.0,0.00544739320855747,0.00544739320855747,-0.00687733333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731163,-0.000207417937731163,-0.00183693173379949,0.0,0.0,0.0,0.0118074436213705,0.00713014183054831,2.0,1.0,0.00626922069304341,66.0,0.0,0.0
57,107.2,0.00558042525496066,0.00558042525496066,-0.00699591111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,-0.000207417937731162,-0.000207417937731162,-0.00183693173379949,0.0,0.0,0.0,0.0120852191910767,0.00729788171333563,2.0,1.0,0.00641670700807202,67.2,0.0,0.0
