,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,GAMMAP,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.002,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.001972,-0.001972,-0.002112,0.0,0.0,0.0,-4000000.0,-4000000.0,-4112000.0,0.0,0.0,0.0,-0.001972,-0.001972,-0.002112,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.001944,-0.001944,-0.002224,0.0,0.0,0.0,-4000000.0,-4000000.0,-4224000.0,0.0,0.0,0.0,-0.001944,-0.001944,-0.002224,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.001916,-0.001916,-0.002336,0.0,0.0,0.0,-4000000.0,-4000000.0,-4336000.0,0.0,0.0,0.0,-0.001916,-0.001916,-0.002336,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.001888,-0.001888,-0.002448,0.0,0.0,0.0,-4000000.0,-4000000.0,-4448000.0,0.0,0.0,0.0,-0.001888,-0.001888,-0.002448,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.00186,-0.00186,-0.00256,0.0,0.0,0.0,-4000000.0,-4000000.0,-4560000.0,0.0,0.0,0.0,-0.00186,-0.00186,-0.00256,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.001832,-0.001832,-0.002672,0.0,0.0,0.0,-4000000.0,-4000000.0,-4672000.0,0.0,0.0,0.0,-0.001832,-0.001832,-0.002672,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-0.001804,-0.001804,-0.002784,0.0,0.0,0.0,-4000000.0,-4000000.0,-4784000.0,0.0,0.0,0.0,-0.001804,-0.001804,-0.002784,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-0.001776,-0.001776,-0.002896,0.0,0.0,0.0,-4000000.0,-4000000.0,-4896000.0,0.0,0.0,0.0,-0.001776,-0.001776,-0.002896,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,0.0,0.0
10,50.8,-0.001748,-0.001748,-0.003008,0.0,0.0,0.0,-4000000.0,-4000000.0,-5008000.0,0.0,0.0,0.0,-0.001748,-0.001748,-0.003008,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.8,0.0,0.0
11,52.0,-0.00172,-0.00172,-0.00312,0.0,0.0,0.0,-4000000.0,-4000000.0,-5120000.0,0.0,0.0,0.0,-0.00172,-0.00172,-0.00312,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0
12,53.2,-0.001692,-0.001692,-0.003232,0.0,0.0,0.0,-4000000.0,-4000000.0,-5232000.0,0.0,0.0,0.0,-0.001692,-0.001692,-0.003232,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.2,0.0,0.0
13,54.4,-0.001664,-0.001664,-0.003344,0.0,0.0,0.0,-4000000.0,-4000000.0,-5344000.0,0.0,0.0,0.0,-0.001664,-0.001664,-0.003344,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.4,0.0,0.0
14,55.6,-0.001636,-0.001636,-0.003456,0.0,0.0,0.0,-4000000.0,-4000000.0,-5456000.0,0.0,0.0,0.0,-0.001636,-0.001636,-0.003456,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.6,0.0,0.0
15,56.8,-0.001608,-0.001608,-0.003568,0.0,0.0,0.0,-4000000.0,-4000000.0,-5568000.0,0.0,0.0,0.0,-0.001608,-0.001608,-0.003568,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.8,0.0,0.0
16,58.0,-0.00158,-0.00158,-0.00368,0.0,0.0,0.0,-4000000.0,-4000000.0,-5680000.0,0.0,0.0,0.0,-0.00158,-0.00158,-0.00368,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0
17,59.2,-0.001552,-0.001552,-0.003792,0.0,0.0,0.0,-4000000.0,-4000000.0,-5792000.0,0.0,0.0,0.0,-0.001552,-0.001552,-0.003792,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.2,0.0,0.0
