,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000222222222222222,-0.000222222222222222,-0.000222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,1.22794210553175e-09,-4000000.0,0.0,0.0,0.0
2,41.2,-0.000192444444444444,-0.000192444444444444,-0.000341333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-5072000.0,0.0,0.0,0.0,-0.000192444444444444,-0.000192444444444444,-0.000341333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,1072000.0,-4357333.33333333,0.0,0.0,0.0
3,42.4,-0.000162666666666666,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-6144000.0,0.0,0.0,0.0,-0.000162666666666667,-0.000162666666666667,-0.000460444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,2144000.0,-4714666.66666667,0.0,0.0,0.0
4,43.6,-0.000132888888888889,-0.000132888888888889,-0.000579555555555555,0.0,0.0,0.0,-4000000.0,-4000000.0,-7216000.0,0.0,0.0,0.0,-0.000132888888888889,-0.000132888888888889,-0.000579555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,3216000.0,-5072000.0,0.0,0.0,0.0
5,44.8,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,-4000000.0,-4000000.0,-8288000.0,0.0,0.0,0.0,-0.000103111111111111,-0.000103111111111111,-0.000698666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,4288000.0,-5429333.33333333,0.0,0.0,0.0
6,46.0,-7.28861576214871e-05,-7.28861576214872e-05,-0.000817777777777778,0.0,0.0,0.0,-4000000.0,-4000000.0,-9355384.1088231,0.0,0.0,0.0,-7.34615525326917e-05,-7.34615525326916e-05,-0.000817264900980345,0.0,0.0,0.0,5.75394911204289e-07,5.75394911204289e-07,-5.1287679743314e-07,0.0,0.0,0.0,1.20144471642119e-06,0.0,2.0,1.0,6.37913024975438e-07,0.0,6.0,1.0,5247129.71254285,-5808092.90517348,233.067490201558,0.0,0.0
7,47.2,-4.05354788985731e-05,-4.05354788985733e-05,-0.000936888888888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-10400825.7997355,0.0,0.0,0.0,-4.44215055629035e-05,-4.44215055629035e-05,-0.000933425088859497,0.0,0.0,0.0,3.88602666433007e-06,3.88602666433007e-06,-3.46380002939195e-06,0.0,0.0,0.0,8.1141597063475e-06,0.0,2.0,1.0,4.3082532992682e-06,0.0,7.2,1.0,5669711.46020207,-6288705.71868548,10630.6842390678,0.0,0.0
8,48.4,-8.18480017565939e-06,-8.18480017565954e-06,-0.001056,0.0,0.0,0.0,-4000000.0,-4000000.0,-11446267.4906478,0.0,0.0,0.0,-1.53814585931155e-05,-1.53814585931155e-05,-0.00104958527673865,0.0,0.0,0.0,7.19665841745584e-06,7.19665841745584e-06,-6.41472326135075e-06,0.0,0.0,0.0,1.50268746962738e-05,0.0,2.0,1.0,7.97859357356094e-06,0.0,8.4,1.0,6092293.20786129,-6769318.53219748,36459.5618911387,0.0,0.0
9,49.6,2.41658785472546e-05,2.41658785472544e-05,-0.00117511111111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-12491709.1815602,0.0,0.0,0.0,1.36585883766727e-05,1.36585883766726e-05,-0.0011657454646178,0.0,0.0,0.0,1.05072901705816e-05,1.05072901705816e-05,-9.36564649330957e-06,0.0,0.0,0.0,2.19395896862001e-05,0.0,2.0,1.0,1.16489338478537e-05,0.0,9.6,1.0,6514874.95552051,-7249931.34570947,77719.7004464147,0.0,0.0
10,50.8,6.12922965482117e-05,6.12922965482116e-05,-0.00129422222222222,0.0,0.0,0.0,-4000000.0,-4000000.0,-13487854.1593177,0.0,0.0,0.0,4.13292822032704e-05,4.13292822032704e-05,-0.00127642823992419,0.0,0.0,0.0,1.9963014344941e-05,1.9963014344941e-05,-1.77939822980291e-05,0.0,0.0,0.0,4.16834727619868e-05,0.000113421687443041,7.0,1.0,2.21320463918528e-05,0.0,10.8,1.0,6917530.30120265,-7707881.36303258,90000.0000282472,0.0,0.0
11,52.0,0.00010367040582606,0.00010367040582606,-0.00141333333333333,0.0,0.0,0.0,-4000000.0,-4000000.0,-14429789.494676,0.0,0.0,0.0,6.74941526298896e-05,6.74941526298896e-05,-0.00138108772163067,0.0,0.0,0.0,3.61762531961705e-05,3.61762531961705e-05,-3.22456117026639e-05,0.0,0.0,0.0,7.55372830313803e-05,0.000371683968248755,6.0,1.0,4.0106894689677e-05,0.0,12.0,1.0,7298273.37261029,-8140910.00113873,90000.0000000001,0.0,0.0
12,53.2,0.000150554638432382,0.000150554638432381,-0.00153244444444444,0.0,0.0,0.0,-4000000.00005833,-4000000.00005833,-15325211.1792671,0.0,0.0,0.0,9.23669771970043e-05,9.23669771970043e-05,-0.00148057901991533,0.0,0.0,0.0,5.81876612294852e-05,5.81876612294852e-05,-5.18654245291149e-05,0.0,0.0,0.0,0.000121497873519167,0.00078940980695014,5.0,1.0,6.45098979298554e-05,0.0,13.2,1.0,7660214.99304831,-8552555.27894305,90000.0000786305,0.0,0.0
13,54.4,0.000202051781091421,0.000202051781091421,-0.00165155555555556,0.0,0.0,0.0,-4000000.00000001,-4000000.0,-16173016.9261765,0.0,0.0,0.0,0.000115917136838235,0.000115917136838235,-0.00157477965846405,0.0,0.0,0.0,8.61346442472938e-05,8.61346442472938e-05,-7.67758970915027e-05,0.0,0.0,0.0,0.000179852152350698,0.00140170146001832,5.0,1.0,9.54933914030848e-05,0.0,14.4,1.0,8002909.60524603,-8942310.45009475,90000.0000045235,0.0,0.0
14,55.6,0.000258142167717422,0.000258142167717422,-0.00177066666666667,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-16973409.7350741,0.0,0.0,0.0,0.000138150270418725,0.000138150270418725,-0.00166371219278602,0.0,0.0,0.0,0.000119991897292803,0.000119991897292803,-0.000106954473880652,0.0,0.0,0.0,0.000250547281890383,0.0022389943562686,5.0,1.0,0.000133029320704954,0.0,15.6,1.0,8326439.26259574,-9310268.83852904,90000.0000003506,0.0,0.0
15,56.8,0.000318733931645363,0.000318733931645363,-0.00188977777777778,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-17727337.8831651,0.0,0.0,0.0,0.000159092718976808,0.000159092718976808,-0.00174748198701834,0.0,0.0,0.0,0.000159641212662661,0.000159641212662661,-0.000142295790759434,0.0,0.0,0.0,0.000333336440315735,0.00332747677534014,5.0,1.0,0.000176986634565889,0.0,16.8,1.0,8631187.27217173,-9656866.38824308,90000.0000000355,0.0,0.0
16,58.0,0.000383701511849732,0.000383701511849732,-0.00200888888888889,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-18436097.4516418,0.0,0.0,0.0,0.000178780484767827,0.000178780484767827,-0.00182623305018242,0.0,0.0,0.0,0.00020492102707601,0.00020492102707601,-0.000182655838706469,0.0,0.0,0.0,0.000427882277840766,0.00469000612210221,5.0,1.0,0.000227186215445551,0.0,18.0,1.0,8917677.52765032,-9982698.93660048,90000.0000000046,0.0,0.0
17,59.2,0.000452910771053284,0.000452910771053284,-0.002128,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-19101073.0485187,0.0,0.0,0.0,0.000197252029125519,0.000197252029125519,-0.00190011922761319,0.0,0.0,0.0,0.000255658741921868,0.000255658741921868,-0.00022788077238681,0.0,0.0,0.0,0.000533824402523892,0.00634715076740019,5.0,1.0,0.000283436711456926,0.0,19.2,1.0,9186469.70642196,-10288403.0187219,90000.0000000007,0.0,0.0
18,60.4,0.000526234295707413,0.000526234295707413,-0.00224711111111111,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-19723579.8773261,0.0,0.0,0.0,0.000214543885481279,0.000214543885481279,-0.00196928665303623,0.0,0.0,0.0,0.000311690410220236,0.000311690410220236,-0.000277824458074882,0.0,0.0,0.0,0.000650820487331876,0.00831817286037596,5.0,1.0,0.00034555636236559,0.0,20.4,1.0,9438095.43163829,-10574583.2629423,90000.0000000002,0.0,0.0
19,61.6,0.000603560097315512,0.000603560097315512,-0.00236622222222222,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-20304773.9192581,0.0,0.0,0.0,0.000230688164423834,0.000230688164423834,-0.00203386376880645,0.0,0.0,0.0,0.000372871932885778,0.000372871932885778,-0.000332358453415772,0.0,0.0,0.0,0.000778569648330315,0.0106218836991653,5.0,1.0,0.000413385412355785,0.0,21.6,1.0,9673021.96661741,-10841771.0995452,90000.0,0.0,0.0
20,62.8,0.000684796134922977,0.000684796134922977,-0.00248533333333333,0.0,0.0,0.0,-4000000.00000001,-4000000.00000001,-20845605.25058,0.0,0.0,0.0,0.000245711256960556,0.000245711256960556,-0.00209395613895334,0.0,0.0,0.0,0.000439084877956521,0.000439084877956521,-0.000391377194379996,0.0,0.0,0.0,0.00091682459543687,0.013277363098487,6.0,1.0,0.000486792561533046,0.0,22.8,1.0,9891633.34508452,-11090403.2997398,90000.0000012258,0.0,0.0
21,64.0,0.000769872312408007,0.000769872312408006,-0.00260444444444444,0.0,0.0,0.0,-4000000.0,-4000000.0,-21346797.4259521,0.0,0.0,0.0,0.000259633261832001,0.000259633261832001,-0.00214964415843912,0.0,0.0,0.0,0.000510239050570104,0.000510239050570104,-0.000454800286005328,0.0,0.0,0.0,0.00106539699862165,0.016304559351274,5.0,1.0,0.000565677815134881,0.0,24.0,1.0,10094222.0377342,-11320812.4976941,90000.0,0.0,0.0
