,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,-5.55555555555556e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-5.55555555555555e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,3.06985526382938e-10,-1000000.0,0.0,0.0,0.0
2,11.2,-2.56111111111112e-05,-2.56111111111112e-05,-0.000175333333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-2078000.0,0.0,0.0,0.0,-2.56111111111111e-05,-2.56111111111111e-05,-0.000175333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,1078000.0,-1359333.33333333,0.0,0.0,0.0
3,12.4,4.33333333333328e-06,4.33333333333326e-06,-0.000295111111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-3156000.0,0.0,0.0,0.0,4.33333333333333e-06,4.33333333333334e-06,-0.000295111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,2156000.0,-1718666.66666667,0.0,0.0,0.0
4,13.6,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-4234000.0,0.0,0.0,0.0,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,3234000.0,-2078000.0,0.0,0.0,0.0
5,14.8,6.58212912691376e-05,6.58212912691376e-05,-0.000534666666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-5295493.89622608,0.0,0.0,0.0,6.37637193396133e-05,6.37637193396133e-05,-0.000532832655136231,0.0,0.0,0.0,2.05757192952438e-06,2.05757192952438e-06,-1.83401153043587e-06,0.0,0.0,0.0,4.2962822146092e-06,0.0,2.0,1.0,2.28113232861289e-06,0.0,4.8,1.0,3908383.75205108,-2513952.06257209,2980.29818943364,0.0,0.0
6,16.0,9.88736004319385e-05,9.88736004319384e-05,-0.000654444444444444,0.0,0.0,0.0,-1000000.00000442,-1000000.00000442,-6341413.5194275,0.0,0.0,0.0,9.28170422059508e-05,9.28170422059508e-05,-0.00064904594660281,0.0,0.0,0.0,6.05655822562131e-06,6.05655822562131e-06,-5.39849784163479e-06,0.0,0.0,0.0,1.26463055862629e-05,2.72042764597957e-05,6.0,1.0,6.71461860960783e-06,0.0,6.0,1.0,4331158.68644068,-2994784.5921966,18000.0000001178,0.0,0.0
7,17.2,0.000141929524034848,0.000141929524034848,-0.000774222222222222,0.0,0.0,0.0,-1000000.0000001,-1000000.0000001,-7284072.62465184,0.0,0.0,0.0,0.000119002017351431,0.000119002017351431,-0.000753785847183532,0.0,0.0,0.0,2.29275066830404e-05,2.29275066830404e-05,-2.04363750386901e-05,0.0,0.0,0.0,4.7873436536651e-05,0.000651109759071622,7.0,1.0,2.54186383273906e-05,0.0,7.2,1.0,4712194.31529997,-3428145.96345313,18000.0,0.0,0.0
8,18.4,0.000195271263890781,0.000195271263890781,-0.000894,0.0,0.0,0.0,-999999.999999999,-999999.999999999,-8120558.23424068,0.0,0.0,0.0,0.000142237728728908,0.000142237728728908,-0.000846728692693409,0.0,0.0,0.0,5.30335351614969e-05,5.30335351614969e-05,-4.72713073065906e-05,0.0,0.0,0.0,0.00011073587786788,0.00220243013058342,6.0,1.0,5.87957630164032e-05,0.0,8.4,1.0,5050313.17344787,-3812697.01568443,18000.0000000121,0.0,0.0
9,19.6,0.000258774152139989,0.000258774152139989,-0.00101377777777778,0.0,0.0,0.0,-1000000.00000162,-1000000.00000162,-8852157.2098457,0.0,0.0,0.0,0.000162559922495578,0.000162559922495579,-0.000928017467760543,0.0,0.0,0.0,9.62142296438201e-05,9.62142296438201e-05,-8.57603100172348e-05,0.0,0.0,0.0,0.00020089867949677,0.00501331328340387,6.0,1.0,0.000106668149270405,0.0,9.6,1.0,5346035.4278645,-4149029.34783176,18000.0,0.0,0.0
