,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,EPLXX,EPLYY,EPLZZ,EPLXY,EPLXZ,EPLYZ,LAMBDA,ALPHA,NITER,IP,EVP,GAMMAP,TIME,DOMAIN,XEQ,XM,Y,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,9.25916038875257e-10,-4000000.0,0.0,0.0,0.0
2,41.2,-0.0001702,-0.0001702,-0.0003192,0.0,0.0,0.0,-4000000.0,-4000000.0,-5192000.0,0.0,0.0,0.0,-0.0001702,-0.0001702,-0.0003192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,1192000.0,-4397333.33333333,0.0,0.0,0.0
3,42.4,-0.0001404,-0.0001404,-0.0004384,0.0,0.0,0.0,-4000000.0,-4000000.0,-6384000.0,0.0,0.0,0.0,-0.0001404,-0.0001404,-0.0004384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,2384000.0,-4794666.66666667,0.0,0.0,0.0
4,43.6,-0.0001106,-0.0001106,-0.0005576,0.0,0.0,0.0,-4000000.0,-4000000.0,-7576000.0,0.0,0.0,0.0,-0.0001106,-0.0001106,-0.0005576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,3576000.0,-5192000.0,0.0,0.0,0.0
5,44.8,-8.08000000000001e-05,-8.08000000000002e-05,-0.0006768,0.0,0.0,0.0,-4000000.0,-4000000.0,-8768000.0,0.0,0.0,0.0,-8.08000000000001e-05,-8.08000000000001e-05,-0.0006768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,4768000.0,-5589333.33333333,0.0,0.0,0.0
6,46.0,-5.10000000000001e-05,-5.10000000000001e-05,-0.000796,0.0,0.0,0.0,-4000000.0,-4000000.0,-9960000.0,0.0,0.0,0.0,-5.1e-05,-5.10000000000001e-05,-0.000796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,5960000.0,-5986666.66666667,0.0,0.0,0.0
7,47.2,-2.12e-05,-2.12e-05,-0.0009152,0.0,0.0,0.0,-4000000.0,-4000000.0,-11152000.0,0.0,0.0,0.0,-2.12e-05,-2.12e-05,-0.0009152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,7152000.0,-6384000.0,0.0,0.0,0.0
8,48.4,8.59999999999997e-06,8.59999999999996e-06,-0.0010344,0.0,0.0,0.0,-4000000.0,-4000000.0,-12344000.0,0.0,0.0,0.0,8.59999999999999e-06,8.59999999999999e-06,-0.0010344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,8344000.0,-6781333.33333333,0.0,0.0,0.0
9,49.6,3.84000000000001e-05,3.84000000000001e-05,-0.0011536,0.0,0.0,0.0,-4000000.0,-4000000.0,-13536000.0,0.0,0.0,0.0,3.84000000000001e-05,3.84000000000001e-05,-0.0011536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,9536000.0,-7178666.66666667,0.0,0.0,0.0
