,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000323809511111111,-0.000323809511111111,-0.000323809511111111,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000323809511111111,-0.000323809511111111,-0.000323809511111111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000307699577435646,-0.000307699577435646,-0.000442514273066667,0.0,0.0,0.0,-4000000.0,-4000000.0,-5068342.8576,0.0,0.0,0.0,-0.000307699577435646,-0.000307699577435646,-0.000442514273066667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000291589643760181,-0.000291589643760181,-0.000561219035022222,0.0,0.0,0.0,-4000000.0,-4000000.0,-6136685.7152,0.0,0.0,0.0,-0.000291589643760181,-0.000291589643760181,-0.000561219035022222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000275479710084716,-0.000275479710084716,-0.000679923796977778,0.0,0.0,0.0,-4000000.0,-4000000.0,-7205028.5728,0.0,0.0,0.0,-0.000275479710084717,-0.000275479710084717,-0.000679923796977778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000259369776409252,-0.000259369776409252,-0.000798628558933333,0.0,0.0,0.0,-4000000.0,-4000000.0,-8273371.4304,0.0,0.0,0.0,-0.000259369776409252,-0.000259369776409252,-0.000798628558933333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.000243259842733787,-0.000243259842733787,-0.000917333320888889,0.0,0.0,0.0,-4000000.0,-4000000.0,-9341714.288,0.0,0.0,0.0,-0.000243259842733787,-0.000243259842733787,-0.000917333320888889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.000227149909058322,-0.000227149909058322,-0.00103603808284444,0.0,0.0,0.0,-4000000.0,-4000000.0,-10410057.1456,0.0,0.0,0.0,-0.000227149909058322,-0.000227149909058322,-0.00103603808284444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-0.000211039975382857,-0.000211039975382857,-0.0011547428448,0.0,0.0,0.0,-4000000.0,-4000000.0,-11478400.0032,0.0,0.0,0.0,-0.000211039975382857,-0.000211039975382857,-0.0011547428448,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-0.000194930041707392,-0.000194930041707392,-0.00127344760675556,0.0,0.0,0.0,-4000000.0,-4000000.0,-12546742.8608,0.0,0.0,0.0,-0.000194930041707392,-0.000194930041707392,-0.00127344760675556,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
