,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,-5.55555555555556e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,-1000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,-5.55555555555555e-05,-5.55555555555556e-05,-5.55555555555556e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0
2,11.2,-2.56111111111112e-05,-2.56111111111112e-05,-0.000175333333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-2078000.0,0.0,0.0,0.0,-2.56111111111111e-05,-2.56111111111111e-05,-0.000175333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,12.4,4.33333333333328e-06,4.33333333333326e-06,-0.000295111111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-3156000.0,0.0,0.0,0.0,4.33333333333333e-06,4.33333333333334e-06,-0.000295111111111111,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,13.6,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-4234000.0,0.0,0.0,0.0,3.42777777777777e-05,3.42777777777777e-05,-0.000414888888888889,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,14.8,6.42222222222222e-05,6.42222222222222e-05,-0.000534666666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-5312000.0,0.0,0.0,0.0,6.42222222222222e-05,6.42222222222222e-05,-0.000534666666666667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,16.0,9.41666666666666e-05,9.41666666666666e-05,-0.000654444444444444,0.0,0.0,0.0,-1000000.0,-1000000.0,-6390000.0,0.0,0.0,0.0,9.41666666666666e-05,9.41666666666666e-05,-0.000654444444444444,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,17.2,0.000124111111111111,0.000124111111111111,-0.000774222222222222,0.0,0.0,0.0,-1000000.0,-1000000.0,-7468000.0,0.0,0.0,0.0,0.000124111111111111,0.000124111111111111,-0.000774222222222222,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,18.4,0.000154055555555555,0.000154055555555555,-0.000894,0.0,0.0,0.0,-1000000.0,-1000000.0,-8546000.0,0.0,0.0,0.0,0.000154055555555555,0.000154055555555555,-0.000894,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,19.6,0.000184,0.000184,-0.00101377777777778,0.0,0.0,0.0,-1000000.0,-1000000.0,-9624000.0,0.0,0.0,0.0,0.000184,0.000184,-0.00101377777777778,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
10,20.8,0.000223728683429198,0.000223728683429198,-0.00113355555555556,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,2.62877028448327e-05,2.0,1.0,1.39575860730023e-05,1.58743124840099e-05,10.8,0.0,0.0
11,22.0,0.000358107006164057,0.000358107006164057,-0.00125333333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.000306874344658246,2.0,1.0,0.000162936453764943,0.000185311712825768,12.0,0.0,0.0
12,23.2,0.000492485328898917,0.000492485328898917,-0.00137311111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00058746098647166,2.0,1.0,0.000311915321456884,0.000354749113167526,13.2,0.0,0.0
13,24.4,0.000626863651633776,0.000626863651633776,-0.00149288888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.000868047628285073,2.0,1.0,0.000460894189148825,0.000524186513509285,14.4,0.0,0.0
14,25.6,0.000761241974368636,0.000761241974368636,-0.00161266666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00114863427009849,2.0,1.0,0.000609873056840766,0.000693623913851043,15.6,0.0,0.0
15,26.8,0.000895620297103495,0.000895620297103495,-0.00173244444444444,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0014292209119119,2.0,1.0,0.000758851924532707,0.000863061314192801,16.8,0.0,0.0
16,28.0,0.00102999861983835,0.00102999861983835,-0.00185222222222222,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00170980755372531,2.0,1.0,0.000907830792224648,0.00103249871453456,18.0,0.0,0.0
17,29.2,0.00116437694257321,0.00116437694257321,-0.001972,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00199039419553873,2.0,1.0,0.00105680965991659,0.00120193611487632,19.2,0.0,0.0
18,30.4,0.00129875526530807,0.00129875526530807,-0.00209177777777778,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00227098083735214,2.0,1.0,0.00120578852760853,0.00137137351521807,20.4,0.0,0.0
19,31.6,0.00143313358804293,0.00143313358804293,-0.00221155555555556,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00255156747916555,2.0,1.0,0.00135476739530047,0.00154081091555983,21.6,0.0,0.0
20,32.8,0.00156751191077779,0.00156751191077779,-0.00233133333333333,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00283215412097897,2.0,1.0,0.00150374626299241,0.00171024831590159,22.8,0.0,0.0
21,34.0,0.00170189023351265,0.00170189023351265,-0.00245111111111111,0.0,0.0,0.0,-999999.999999999,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00311274076279238,2.0,1.0,0.00165272513068435,0.00187968571624335,24.0,0.0,0.0
22,35.2,0.00183626855624751,0.00183626855624751,-0.00257088888888889,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00339332740460579,2.0,1.0,0.00180170399837629,0.00204912311658511,25.2,0.0,0.0
23,36.4,0.00197064687898237,0.00197064687898237,-0.00269066666666667,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00367391404641921,2.0,1.0,0.00195068286606823,0.00221856051692687,26.4,0.0,0.0
24,37.6,0.00210502520171723,0.00210502520171723,-0.00281044444444444,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00395450068823262,2.0,1.0,0.00209966173376017,0.00238799791726862,27.6,0.0,0.0
25,38.8,0.00223940352445209,0.00223940352445209,-0.00293022222222222,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00423508733004603,2.0,1.0,0.00224864060145211,0.00255743531761038,28.8,0.0,0.0
26,40.0,0.00237378184718695,0.00237378184718695,-0.00305,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00451567397185945,2.0,1.0,0.00239761946914406,0.00272687271795214,30.0,0.0,0.0
27,41.2,0.00250816016992181,0.00250816016992181,-0.00316977777777778,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00479626061367286,2.0,1.0,0.002546598336836,0.0028963101182939,31.2,0.0,0.0
28,42.4,0.00264253849265667,0.00264253849265667,-0.00328955555555556,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00507684725548627,2.0,1.0,0.00269557720452794,0.00306574751863566,32.4,0.0,0.0
29,43.6,0.00277691681539153,0.00277691681539153,-0.00340933333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00535743389729969,2.0,1.0,0.00284455607221988,0.00323518491897741,33.6,0.0,0.0
30,44.8,0.00291129513812639,0.00291129513812639,-0.00352911111111111,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0056380205391131,2.0,1.0,0.00299353493991182,0.00340462231931917,34.8,0.0,0.0
31,46.0,0.00304567346086125,0.00304567346086125,-0.00364888888888889,0.0,0.0,0.0,-999999.999999999,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00591860718092651,2.0,1.0,0.00314251380760376,0.00357405971966093,36.0,0.0,0.0
32,47.2,0.0031800517835961,0.0031800517835961,-0.00376866666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00619919382273992,2.0,1.0,0.0032914926752957,0.00374349712000269,37.2,0.0,0.0
33,48.4,0.00331443010633096,0.00331443010633096,-0.00388844444444444,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00647978046455334,2.0,1.0,0.00344047154298764,0.00391293452034445,38.4,0.0,0.0
34,49.6,0.00344880842906582,0.00344880842906582,-0.00400822222222222,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00676036710636675,2.0,1.0,0.00358945041067958,0.0040823719206862,39.6,0.0,0.0
35,50.8,0.00358318675180068,0.00358318675180068,-0.004128,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00704095374818016,2.0,1.0,0.00373842927837152,0.00425180932102796,40.8,0.0,0.0
36,52.0,0.00371756507453554,0.00371756507453554,-0.00424777777777778,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00732154038999358,2.0,1.0,0.00388740814606346,0.00442124672136972,42.0,0.0,0.0
37,53.2,0.0038519433972704,0.0038519433972704,-0.00436755555555556,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00760212703180699,2.0,1.0,0.0040363870137554,0.00459068412171148,43.2,0.0,0.0
38,54.4,0.00398632172000526,0.00398632172000526,-0.00448733333333333,0.0,0.0,0.0,-1000000.0,-999999.999999997,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0078827136736204,2.0,1.0,0.00418536588144734,0.00476012152205323,44.4,0.0,0.0
39,55.6,0.00412070004274012,0.00412070004274012,-0.00460711111111111,0.0,0.0,0.0,-999999.999999999,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00816330031543381,2.0,1.0,0.00433434474913928,0.00492955892239499,45.6,0.0,0.0
40,56.8,0.00425507836547498,0.00425507836547498,-0.00472688888888889,0.0,0.0,0.0,-1000000.0,-999999.999999998,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00844388695724723,2.0,1.0,0.00448332361683123,0.00509899632273675,46.8,0.0,0.0
41,58.0,0.00438945668820984,0.00438945668820984,-0.00484666666666667,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00872447359906064,2.0,1.0,0.00463230248452317,0.00526843372307851,48.0,0.0,0.0
42,59.2,0.0045238350109447,0.0045238350109447,-0.00496644444444444,0.0,0.0,0.0,-1000000.0,-999999.999999998,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00900506024087406,2.0,1.0,0.00478128135221511,0.00543787112342027,49.2,0.0,0.0
43,60.4,0.00465821333367956,0.00465821333367956,-0.00508622222222222,0.0,0.0,0.0,-999999.999999998,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00928564688268747,2.0,1.0,0.00493026021990705,0.00560730852376203,50.4,0.0,0.0
44,61.6,0.00479259165641442,0.00479259165641442,-0.005206,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00956623352450088,2.0,1.0,0.00507923908759899,0.00577674592410378,51.6,0.0,0.0
45,62.8,0.00492696997914928,0.00492696997914928,-0.00532577777777778,0.0,0.0,0.0,-999999.999999999,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.00984682016631429,2.0,1.0,0.00522821795529093,0.00594618332444554,52.8,0.0,0.0
46,64.0,0.00506134830188414,0.00506134830188414,-0.00544555555555556,0.0,0.0,0.0,-1000000.0,-999999.999999998,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0101274068081277,2.0,1.0,0.00537719682298287,0.0061156207247873,54.0,0.0,0.0
47,65.2,0.00519572662461899,0.00519572662461899,-0.00556533333333333,0.0,0.0,0.0,-1000000.0,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0104079934499411,2.0,1.0,0.00552617569067481,0.00628505812512906,55.2,0.0,0.0
48,66.4,0.00533010494735386,0.00533010494735385,-0.00568511111111111,0.0,0.0,0.0,-1000000.0,-999999.999999999,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0106885800917545,2.0,1.0,0.00567515455836675,0.00645449552547082,56.4,0.0,0.0
49,67.6,0.00546448327008871,0.00546448327008871,-0.00580488888888889,0.0,0.0,0.0,-999999.999999998,-1000000.0,-10601003.9458629,0.0,0.0,0.0,0.000211138998496192,0.000211138998496192,-0.00112233377176255,0.0,0.0,0.0,0.0109691667335679,2.0,1.0,0.00582413342605869,0.00662393292581257,57.6,0.0,0.0
