,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000536539118798882,-0.000536539118798882,-0.000536539118798882,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000536539118798882,-0.000536539118798882,-0.000536539118798882,0.0,0.0,0.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000507075657917681,-0.000507075657917681,-0.000654392962323687,0.0,0.0,0.0,-4000000.0,-4000000.0,-4439311.28,0.0,0.0,0.0,-0.000507075657917681,-0.000507075657917681,-0.000654392962323687,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.00047761219703648,-0.00047761219703648,-0.000772246805848491,0.0,0.0,0.0,-4000000.0,-4000000.0,-4878622.56,0.0,0.0,0.0,-0.00047761219703648,-0.00047761219703648,-0.000772246805848491,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000448148736155278,-0.000448148736155278,-0.000890100649373296,0.0,0.0,0.0,-4000000.0,-4000000.0,-5317933.84,0.0,0.0,0.0,-0.000448148736155279,-0.000448148736155279,-0.000890100649373296,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000418685275274077,-0.000418685275274078,-0.0010079544928981,0.0,0.0,0.0,-4000000.0,-4000000.0,-5757245.12,0.0,0.0,0.0,-0.000418685275274078,-0.000418685275274078,-0.0010079544928981,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.000389221814392876,-0.000389221814392876,-0.0011258083364229,0.0,0.0,0.0,-4000000.0,-4000000.0,-6196556.4,0.0,0.0,0.0,-0.000389221814392876,-0.000389221814392877,-0.0011258083364229,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-0.000359758353511675,-0.000359758353511675,-0.00124366217994771,0.0,0.0,0.0,-4000000.0,-4000000.0,-6635867.68,0.0,0.0,0.0,-0.000359758353511675,-0.000359758353511675,-0.00124366217994771,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-0.000330294892630474,-0.000330294892630474,-0.00136151602347251,0.0,0.0,0.0,-4000000.0,-4000000.0,-7075178.96,0.0,0.0,0.0,-0.000330294892630474,-0.000330294892630474,-0.00136151602347251,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-0.000300831431749273,-0.000300831431749273,-0.00147936986699732,0.0,0.0,0.0,-4000000.0,-4000000.0,-7514490.24,0.0,0.0,0.0,-0.000300831431749273,-0.000300831431749273,-0.00147936986699732,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.6,0.0,0.0
10,50.8,-0.000271367970868072,-0.000271367970868072,-0.00159722371052212,0.0,0.0,0.0,-4000000.0,-4000000.0,-7953801.52,0.0,0.0,0.0,-0.000271367970868072,-0.000271367970868072,-0.00159722371052212,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.8,0.0,0.0
11,52.0,-0.000241904509986871,-0.000241904509986871,-0.00171507755404693,0.0,0.0,0.0,-4000000.0,-4000000.0,-8393112.8,0.0,0.0,0.0,-0.000241904509986871,-0.000241904509986871,-0.00171507755404693,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0
12,53.2,-0.00021244104910567,-0.00021244104910567,-0.00183293139757173,0.0,0.0,0.0,-4000000.0,-4000000.0,-8832424.08,0.0,0.0,0.0,-0.00021244104910567,-0.00021244104910567,-0.00183293139757173,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.2,0.0,0.0
13,54.4,-0.000182977588224469,-0.000182977588224469,-0.00195078524109654,0.0,0.0,0.0,-4000000.0,-4000000.0,-9271735.36,0.0,0.0,0.0,-0.000182977588224469,-0.000182977588224469,-0.00195078524109654,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.4,0.0,0.0
14,55.6,-0.000153514127343267,-0.000153514127343267,-0.00206863908462134,0.0,0.0,0.0,-4000000.0,-4000000.0,-9711046.64,0.0,0.0,0.0,-0.000153514127343267,-0.000153514127343268,-0.00206863908462134,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.6,0.0,0.0
15,56.8,-0.000124050666462066,-0.000124050666462066,-0.00218649292814614,0.0,0.0,0.0,-4000000.0,-4000000.0,-10150357.92,0.0,0.0,0.0,-0.000124050666462067,-0.000124050666462066,-0.00218649292814614,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.8,0.0,0.0
16,58.0,-9.45872055808651e-05,-9.45872055808653e-05,-0.00230434677167095,0.0,0.0,0.0,-4000000.0,-4000000.0,-10589669.2,0.0,0.0,0.0,-9.45872055808653e-05,-9.45872055808654e-05,-0.00230434677167095,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0
17,59.2,-6.51237446996639e-05,-6.51237446996641e-05,-0.00242220061519575,0.0,0.0,0.0,-4000000.0,-4000000.0,-11028980.48,0.0,0.0,0.0,-6.5123744699664e-05,-6.51237446996641e-05,-0.00242220061519575,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.2,0.0,0.0
18,60.4,-3.5660283818463e-05,-3.56602838184631e-05,-0.00254005445872056,0.0,0.0,0.0,-4000000.0,-4000000.0,-11468291.76,0.0,0.0,0.0,-3.56602838184631e-05,-3.56602838184631e-05,-0.00254005445872056,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.4,0.0,0.0
19,61.6,-6.19682293726188e-06,-6.19682293726204e-06,-0.00265790830224536,0.0,0.0,0.0,-4000000.0,-4000000.0,-11907603.04,0.0,0.0,0.0,-6.1968229372621e-06,-6.19682293726212e-06,-0.00265790830224536,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.6,0.0,0.0
20,62.8,2.32666379439394e-05,2.32666379439392e-05,-0.00277576214577017,0.0,0.0,0.0,-4000000.0,-4000000.0,-12346914.32,0.0,0.0,0.0,2.32666379439392e-05,2.32666379439392e-05,-0.00277576214577017,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.8,0.0,0.0
21,64.0,5.27300988251404e-05,5.27300988251402e-05,-0.00289361598929497,0.0,0.0,0.0,-4000000.0,-4000000.0,-12786225.6,0.0,0.0,0.0,5.27300988251402e-05,5.27300988251402e-05,-0.00289361598929497,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0
22,65.2,8.21935597063416e-05,8.21935597063415e-05,-0.00301146983281978,0.0,0.0,0.0,-4000000.0,-4000000.0,-13225536.88,0.0,0.0,0.0,8.21935597063415e-05,8.21935597063415e-05,-0.00301146983281978,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.2,0.0,0.0
23,66.4,0.000111657020587543,0.000111657020587543,-0.00312932367634458,0.0,0.0,0.0,-4000000.0,-4000000.0,-13664848.16,0.0,0.0,0.0,0.000111657020587543,0.000111657020587543,-0.00312932367634458,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.4,0.0,0.0
24,67.6,0.000141120481468744,0.000141120481468743,-0.00324717751986938,0.0,0.0,0.0,-4000000.0,-4000000.0,-14104159.44,0.0,0.0,0.0,0.000141120481468743,0.000141120481468744,-0.00324717751986938,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.6,0.0,0.0
25,68.8,0.000170583942349945,0.000170583942349945,-0.00336503136339419,0.0,0.0,0.0,-4000000.0,-4000000.0,-14543470.72,0.0,0.0,0.0,0.000170583942349945,0.000170583942349945,-0.00336503136339419,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.8,0.0,0.0
26,70.0,0.000200047403231146,0.000200047403231146,-0.00348288520691899,0.0,0.0,0.0,-4000000.0,-4000000.0,-14982782.0,0.0,0.0,0.0,0.000200047403231146,0.000200047403231146,-0.00348288520691899,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0
27,71.2,0.000229510864112347,0.000229510864112347,-0.0036007390504438,0.0,0.0,0.0,-4000000.0,-4000000.0,-15422093.28,0.0,0.0,0.0,0.000229510864112347,0.000229510864112347,-0.0036007390504438,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.2,0.0,0.0
28,72.4,0.000258974324993548,0.000258974324993548,-0.0037185928939686,0.0,0.0,0.0,-4000000.0,-4000000.0,-15861404.56,0.0,0.0,0.0,0.000258974324993548,0.000258974324993548,-0.0037185928939686,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.4,0.0,0.0
29,73.6,0.000288437785874749,0.000288437785874749,-0.00383644673749341,0.0,0.0,0.0,-4000000.0,-4000000.0,-16300715.84,0.0,0.0,0.0,0.000288437785874749,0.000288437785874749,-0.00383644673749341,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.6,0.0,0.0
30,74.8,0.00031790124675595,0.00031790124675595,-0.00395430058101821,0.0,0.0,0.0,-4000000.0,-4000000.0,-16740027.12,0.0,0.0,0.0,0.00031790124675595,0.00031790124675595,-0.00395430058101821,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.8,0.0,0.0
31,76.0,0.000347364707637152,0.000347364707637151,-0.00407215442454302,0.0,0.0,0.0,-4000000.0,-4000000.0,-17179338.4,0.0,0.0,0.0,0.000347364707637151,0.000347364707637151,-0.00407215442454302,0.0,0.0,0.0,0.0,2.0,0.0,0.0,36.0,0.0,0.0
32,77.2,0.000443786311653206,0.000443786311653206,-0.00419000826806782,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146354,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.000179899098183686,2.0,1.0,9.55183175257122e-05,37.2,0.0,0.0
33,78.4,0.000576006178431017,0.000576006178431017,-0.00430786211159263,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.000455978808401551,2.0,1.0,0.000242104207556527,38.4,0.0,0.0
34,79.6,0.000708226045208825,0.000708226045208824,-0.00442571595511743,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.000732058518619411,2.0,1.0,0.000388690097587339,39.6,0.0,0.0
35,80.8,0.000840445911986634,0.000840445911986634,-0.00454356979864223,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146354,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.00100813822883727,2.0,1.0,0.000535275987618153,40.8,0.0,0.0
36,82.0,0.000972665778764443,0.000972665778764442,-0.00466142364216704,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00128421793905513,2.0,1.0,0.000681861877648966,42.0,0.0,0.0
37,83.2,0.00110488564554225,0.00110488564554225,-0.00477927748569184,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00156029764927299,2.0,1.0,0.000828447767679778,43.2,0.0,0.0
38,84.4,0.00123710551232006,0.00123710551232006,-0.00489713132921665,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.00183637735949086,2.0,1.0,0.000975033657710593,44.4,0.0,0.0
39,85.6,0.00136932537909787,0.00136932537909787,-0.00501498517274145,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146354,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.00211245706970872,2.0,1.0,0.00112161954774141,45.6,0.0,0.0
40,86.8,0.00150154524587568,0.00150154524587568,-0.00513283901626626,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00238853677992658,2.0,1.0,0.00126820543777222,46.8,0.0,0.0
41,88.0,0.00163376511265349,0.00163376511265349,-0.00525069285979106,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00266461649014444,2.0,1.0,0.00141479132780303,48.0,0.0,0.0
42,89.2,0.0017659849794313,0.00176598497943129,-0.00536854670331586,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.0029406962003623,2.0,1.0,0.00156137721783384,49.2,0.0,0.0
43,90.4,0.00189820484620911,0.00189820484620911,-0.00548640054684067,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146354,0.000357629184146354,-0.00411321233057983,0.0,0.0,0.0,0.00321677591058017,2.0,1.0,0.00170796310786466,50.4,0.0,0.0
44,91.6,0.00203042471298691,0.00203042471298691,-0.00560425439036547,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00349285562079803,2.0,1.0,0.00185454899789547,51.6,0.0,0.0
45,92.8,0.00216264457976472,0.00216264457976472,-0.00572210823389028,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,0.000357629184146355,0.000357629184146355,-0.00411321233057983,0.0,0.0,0.0,0.00376893533101589,2.0,1.0,0.00200113488792629,52.8,0.0,0.0
