,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,GAMMAP,TIME,E_STORED,E_DISSIPATED
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,-0.000277899088449305,-0.000277899088449305,-0.000277899088449305,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,0.0,0.0,-0.000277899088449305,-0.000277899088449305,-0.000277899088449305,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
2,41.2,-0.000248176987537754,-0.000248176987537754,-0.000396787492095508,0.0,0.0,0.0,-4000000.0,-4000000.0,-4855622.84,0.0,0.0,0.0,-0.000248176987537754,-0.000248176987537754,-0.000396787492095508,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0
3,42.4,-0.000218454886626204,-0.000218454886626204,-0.00051567589574171,0.0,0.0,0.0,-4000000.0,-4000000.0,-5711245.68,0.0,0.0,0.0,-0.000218454886626204,-0.000218454886626204,-0.00051567589574171,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.0,0.0
4,43.6,-0.000188732785714653,-0.000188732785714653,-0.000634564299387914,0.0,0.0,0.0,-4000000.0,-4000000.0,-6566868.52,0.0,0.0,0.0,-0.000188732785714653,-0.000188732785714653,-0.000634564299387914,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.6,0.0,0.0
5,44.8,-0.000159010684803102,-0.000159010684803102,-0.000753452703034116,0.0,0.0,0.0,-4000000.0,-4000000.0,-7422491.36,0.0,0.0,0.0,-0.000159010684803102,-0.000159010684803102,-0.000753452703034116,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.0,0.0
6,46.0,-0.000129288583891551,-0.000129288583891551,-0.000872341106680319,0.0,0.0,0.0,-4000000.0,-4000000.0,-8278114.2,0.0,0.0,0.0,-0.000129288583891552,-0.000129288583891552,-0.000872341106680319,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
7,47.2,-9.95664829800007e-05,-9.95664829800006e-05,-0.000991229510326522,0.0,0.0,0.0,-4000000.0,-4000000.0,-9133737.04,0.0,0.0,0.0,-9.95664829800008e-05,-9.95664829800007e-05,-0.000991229510326522,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.2,0.0,0.0
8,48.4,-6.98443820684501e-05,-6.984438206845e-05,-0.00111011791397272,0.0,0.0,0.0,-4000000.0,-4000000.0,-9989359.88,0.0,0.0,0.0,-6.98443820684502e-05,-6.98443820684502e-05,-0.00111011791397272,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.0
9,49.6,-4.01222811568994e-05,-4.01222811568992e-05,-0.00122900631761893,0.0,0.0,0.0,-4000000.0,-4000000.0,-10844982.72,0.0,0.0,0.0,-4.01222811568994e-05,-4.01222811568994e-05,-0.00122900631761893,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.6,0.0,0.0
10,50.8,-1.04001802453488e-05,-1.04001802453487e-05,-0.00134789472126513,0.0,0.0,0.0,-4000000.0,-4000000.0,-11700605.56,0.0,0.0,0.0,-1.04001802453489e-05,-1.04001802453489e-05,-0.00134789472126513,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.8,0.0,0.0
11,52.0,1.93219206662019e-05,1.9321920666202e-05,-0.00146678312491133,0.0,0.0,0.0,-4000000.0,-4000000.0,-12556228.4,0.0,0.0,0.0,1.93219206662019e-05,1.93219206662019e-05,-0.00146678312491133,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0
12,53.2,4.90440215777527e-05,4.90440215777528e-05,-0.00158567152855754,0.0,0.0,0.0,-4000000.0,-4000000.0,-13411851.24,0.0,0.0,0.0,4.90440215777527e-05,4.90440215777527e-05,-0.00158567152855754,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.2,0.0,0.0
13,54.4,7.87661224893033e-05,7.87661224893034e-05,-0.00170455993220374,0.0,0.0,0.0,-4000000.0,-4000000.0,-14267474.08,0.0,0.0,0.0,7.87661224893033e-05,7.87661224893033e-05,-0.00170455993220374,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.4,0.0,0.0
14,55.6,0.000108488223400854,0.000108488223400854,-0.00182344833584994,0.0,0.0,0.0,-4000000.0,-4000000.0,-15123096.92,0.0,0.0,0.0,0.000108488223400854,0.000108488223400854,-0.00182344833584994,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.6,0.0,0.0
